id;magnitude;type;title;date;url;detailUrl;felt;cdi;mmi;status;tsunami;sig;net;nst;dmin;rms;gap;magType;depth;latitude;longitude;place;distanceKM;location;continent;country;subnational;city;locality;timezone
tx2024rvqa;3.8;earthquake;M 3.8 - 56 km S of Whites City, New Mexico;2024-09-10T18:03:00;https://earthquake.usgs.gov/earthquakes/eventpage/tx2024rvqa;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024rvqa&format=geojson;5;3;4;reviewed;0;224;tx;32;0.1;0.2;66;ml;6.1511;31.641;-104.356;56 km S of Whites City, New Mexico;56;Whites City, New Mexico;North America;United States of America (the);Texas;Van Horn;Van Horn;-300
tx2024rteg;3.3;earthquake;M 3.3 - 61 km SSW of Whites City, New Mexico;2024-09-09T09:50:37;https://earthquake.usgs.gov/earthquakes/eventpage/tx2024rteg;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024rteg&format=geojson;1;3;4;reviewed;0;168;tx;34;0;0.1;70;ml;7.0227;31.586;-104.55;61 km SSW of Whites City, New Mexico;61;Whites City, New Mexico;North America;United States of America (the);Texas;Van Horn;Van Horn;-300
tx2024rquq;3.8;earthquake;M 3.8 - 57 km S of Whites City, New Mexico;2024-09-08T02:37:22;https://earthquake.usgs.gov/earthquakes/eventpage/tx2024rquq;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024rquq&format=geojson;2;3;4;reviewed;0;223;tx;45;0;0.1;66;ml;6.0999;31.663;-104.452;57 km S of Whites City, New Mexico;57;Whites City, New Mexico;North America;United States of America (the);Texas;Van Horn;Van Horn;-300
us6000nqee;3.9;earthquake;M 3.9 - 61 km S of Whites City, New Mexico;2024-09-08T02:37:22;https://earthquake.usgs.gov/earthquakes/eventpage/us6000nqee;https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000nqee.geojson;1;3;4;reviewed;0;234;us;32;0.048;0.23;67;ml;10;31.6305;-104.466;61 km S of Whites City, New Mexico;61;Whites City, New Mexico;North America;United States of America (the);Texas;Van Horn;Van Horn;-300
uu80081806;3.35;earthquake;M 3.4 - 15 km SW of Thatcher, Utah;2024-09-08T02:16:27;https://earthquake.usgs.gov/earthquakes/eventpage/uu80081806;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80081806&format=geojson;13;4;4;reviewed;0;178;uu;41;0.08871;0.19;92;ml;4.98;41.5833;-112.42;15 km SW of Thatcher, Utah;15;Thatcher, Utah;North America;United States of America (the);Utah;Tremonton;Tremonton;-360
ci40727543;3.94;earthquake;M 3.9 - 4 km SE of Ontario, CA;2024-09-07T17:34:20;https://earthquake.usgs.gov/earthquakes/eventpage/ci40727543;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40727543&format=geojson;2756;5;5;reviewed;1;769;ci;171;0.01545;0.23;15;mw;4.84;34.0297;-117.586;4 km SE of Ontario, CA;4;Ontario, CA;North America;United States of America (the);California;San Bernardino;Ontario;-420
ci40727423;3.45;earthquake;M 3.5 - 5 km SE of Ontario, CA;2024-09-07T17:05:45;https://earthquake.usgs.gov/earthquakes/eventpage/ci40727423;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40727423&format=geojson;824;4;4;reviewed;0;513;ci;152;0.01628;0.22;20;ml;5.96;34.0227;-117.593;5 km SE of Ontario, CA;5;Ontario, CA;North America;United States of America (the);California;San Bernardino;Ontario;-420
nc75058591;3.09;earthquake;M 3.1 - 3 km ENE of The Geysers, CA;2024-09-07T14:31:32;https://earthquake.usgs.gov/earthquakes/eventpage/nc75058591;https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc75058591.geojson;6;4;4;reviewed;0;149;nc;76;0.006999;0.08;39;ml;-0.25;38.7893;-122.734;3 km ENE of The Geysers, CA;3;The Geysers, CA;North America;United States of America (the);California;Cobb;Cobb;-420
nc75058606;4.28;earthquake;M 4.3 - 1 km ESE of The Geysers, CA;2024-09-07T14:30:36;https://earthquake.usgs.gov/earthquakes/eventpage/nc75058606;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75058606&format=geojson;241;5;5;reviewed;1;398;nc;121;0.009855;0.1;17;mw;0.16;38.7765;-122.746;1 km ESE of The Geysers, CA;1;The Geysers, CA;North America;United States of America (the);California;Cloverdale-Geyserville;Cloverdale-Geyserville;-420
ci40727055;3.17;earthquake;M 3.2 - 22 km W of Rancho Palos Verdes, CA;2024-09-07T06:03:42;https://earthquake.usgs.gov/earthquakes/eventpage/ci40727055;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40727055&format=geojson;11;3;2;reviewed;0;158;ci;94;0.1793;0.32;143;ml;-0.1;33.7255;-118.599;22 km W of Rancho Palos Verdes, CA;22;Rancho Palos Verdes, CA;;United States of America (the);;;America/Los_Angeles;-420
nc75058116;3.47;earthquake;M 3.5 - 18 km E of Markleeville, CA;2024-09-06T12:07:06;https://earthquake.usgs.gov/earthquakes/eventpage/nc75058116;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75058116&format=geojson;49;3;4;reviewed;0;202;nc;32;0.1282;0.12;53;mw;5.29;38.6982;-119.598;18 km E of Markleeville, CA;18;Markleeville, CA;North America;United States of America (the);California;Markleeville;Markleeville;-420
nc75057881;3.32;earthquake;M 3.3 - 8 km NNW of Avenal, CA;2024-09-05T20:04:29;https://earthquake.usgs.gov/earthquakes/eventpage/nc75057881;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75057881&format=geojson;27;3;3;reviewed;0;178;nc;66;0.02036;0.12;49;mw;11.39;36.07;-120.167;8 km NNW of Avenal, CA;8;Avenal, CA;North America;United States of America (the);California;Huron;Huron;-420
nn00883977;3.1;earthquake;M 3.1 - 8 km ENE of Goldfield, Nevada;2024-09-04T21:31:11;https://earthquake.usgs.gov/earthquakes/eventpage/nn00883977;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00883977&format=geojson;0;0;3;reviewed;0;148;nn;24;0.196;0.187;114.78;ml;8.3;37.741;-117.142;8 km ENE of Goldfield, Nevada;8;Goldfield, Nevada;North America;United States of America (the);Nevada;Ralston Valley;Ralston Valley;-420
us6000nprk;3.1;earthquake;M 3.1 - 9 km ENE of Goldfield, Nevada;2024-09-04T21:31:10;https://earthquake.usgs.gov/earthquakes/eventpage/us6000nprk;https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000nprk.geojson;0;0;3;reviewed;0;148;us;10;0.453;0.67;124;ml;5;37.743;-117.134;9 km ENE of Goldfield, Nevada;9;Goldfield, Nevada;North America;United States of America (the);Nevada;Ralston Valley;Ralston Valley;-420
us6000nprj;3;earthquake;M 3.0 - 16 km ENE of Goldfield, Nevada;2024-09-04T21:30:35;https://earthquake.usgs.gov/earthquakes/eventpage/us6000nprj;https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000nprj.geojson;0;0;3;reviewed;0;138;us;32;0.5;0.69;38;ml;5;37.7769;-117.067;16 km ENE of Goldfield, Nevada;16;Goldfield, Nevada;North America;United States of America (the);Nevada;Yucca Flat;Yucca Flat;-420
nc75056881;3.46;earthquake;M 3.5 - 14 km WNW of Round Valley, CA;2024-09-03T12:11:58;https://earthquake.usgs.gov/earthquakes/eventpage/nc75056881;https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc75056881.geojson;11;3;3;reviewed;0;187;nc;34;0.1385;0.07;64;ml;9.43;37.432;-118.758;14 km WNW of Round Valley, CA;14;Round Valley, CA;North America;United States of America (the);California;Sierra;Bishop;-420
ci40722367;3.14;earthquake;M 3.1 - 21 km W of Rancho Palos Verdes, CA;2024-09-02T11:34:26;https://earthquake.usgs.gov/earthquakes/eventpage/ci40722367;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40722367&format=geojson;5;3;2;reviewed;0;153;ci;89;0.1739;0.37;138;ml;-0.11;33.7102;-118.628;21 km W of Rancho Palos Verdes, CA;21;Rancho Palos Verdes, CA;;United States of America (the);;;America/Los_Angeles;-420
nc75056036;3.4;earthquake;M 3.4 - 7 km NNW of Dixon Lane-Meadow Creek, CA;2024-09-01T11:01:44;https://earthquake.usgs.gov/earthquakes/eventpage/nc75056036;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75056036&format=geojson;71;3;4;reviewed;0;198;nc;35;0.02849;0.05;64;mw;3.36;37.4332;-118.469;7 km NNW of Dixon Lane-Meadow Creek, CA;7;Dixon Lane-Meadow Creek, CA;North America;United States of America (the);California;Bishop;Bishop;-420
us6000np16;3.5;earthquake;M 3.5 - 31 km NE of Seeley Lake, Montana;2024-09-01T08:47:07;https://earthquake.usgs.gov/earthquakes/eventpage/us6000np16;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000np16&format=geojson;4;3;3;reviewed;0;190;us;34;0.441;0.43;52;ml;23.624;47.3504;-113.16;31 km NE of Seeley Lake, Montana;31;Seeley Lake, Montana;North America;United States of America (the);Montana;Helmville;Helmville;-360
tx2024rctc;3.4;earthquake;M 3.4 - 39 km WSW of Mentone, Texas;2024-08-31T10:01:04;https://earthquake.usgs.gov/earthquakes/eventpage/tx2024rctc;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024rctc&format=geojson;0;0;4;reviewed;0;178;tx;25;0.1;0.1;50;ml;6.0999;31.608;-103.99;39 km WSW of Mentone, Texas;39;Mentone, Texas;North America;United States of America (the);Texas;Pecos;Pecos;-300
us6000nnv1;3.6;earthquake;M 3.6 - 37 km NNW of Toyah, Texas;2024-08-31T10:01:04;https://earthquake.usgs.gov/earthquakes/eventpage/us6000nnv1;https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000nnv1.geojson;0;0;4;reviewed;0;199;us;31;0.053;0.27;75;ml;9.724;31.6125;-103.986;37 km NNW of Toyah, Texas;37;Toyah, Texas;North America;United States of America (the);Texas;Pecos;Pecos;-300
us6000nnuf;3.6;earthquake;M 3.6 - 58 km S of Whites City, New Mexico;2024-08-31T07:56:25;https://earthquake.usgs.gov/earthquakes/eventpage/us6000nnuf;https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000nnuf.geojson;0;0;4;reviewed;0;199;us;54;0.14;0.56;54;ml;9.194;31.6465;-104.339;58 km S of Whites City, New Mexico;58;Whites City, New Mexico;North America;United States of America (the);Texas;Van Horn;Van Horn;-300
tx2024rcoz;3.3;earthquake;M 3.3 - 56 km S of Whites City, New Mexico;2024-08-31T07:56:24;https://earthquake.usgs.gov/earthquakes/eventpage/tx2024rcoz;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024rcoz&format=geojson;0;0;4;reviewed;0;168;tx;34;0.1;0.2;69;ml;6.0999;31.663;-104.37;56 km S of Whites City, New Mexico;56;Whites City, New Mexico;North America;United States of America (the);Texas;Van Horn;Van Horn;-300
tx2024qyag;3.9;earthquake;M 3.9 - 56 km S of Whites City, New Mexico;2024-08-28T19:57:22;https://earthquake.usgs.gov/earthquakes/eventpage/tx2024qyag;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024qyag&format=geojson;0;0;4;reviewed;0;234;tx;32;0.1;0.2;57;ml;6.7664;31.663;-104.363;56 km S of Whites City, New Mexico;56;Whites City, New Mexico;North America;United States of America (the);Texas;Van Horn;Van Horn;-300
ci40717127;3.31;earthquake;M 3.3 - 7 km S of Idyllwild, CA;2024-08-28T12:43:01;https://earthquake.usgs.gov/earthquakes/eventpage/ci40717127;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40717127&format=geojson;298;3;3;reviewed;0;267;ci;129;0.03591;0.2;14;ml;15.85;33.6755;-116.723;7 km S of Idyllwild, CA;7;Idyllwild, CA;North America;United States of America (the);California;Idyllwild;Idyllwild;-420
nn00882964;3.9;earthquake;M 3.9 - 17 km ENE of Walker Lake, Nevada;2024-08-25T05:13:45;https://earthquake.usgs.gov/earthquakes/eventpage/nn00882964;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00882964&format=geojson;12;3;4;reviewed;0;237;nn;14;0.06;0.1836;54.74;ml;4.2;38.6738;-118.545;17 km ENE of Walker Lake, Nevada;17;Walker Lake, Nevada;North America;United States of America (the);Nevada;Hawthorne;Hawthorne;-420
nn00882938;3.4;earthquake;M 3.4 - 17 km ENE of Walker Lake, Nevada;2024-08-24T14:05:18;https://earthquake.usgs.gov/earthquakes/eventpage/nn00882938;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00882938&format=geojson;0;0;3;reviewed;0;178;nn;16;0.062;0.1843;40.89;ml;5.7;38.6698;-118.546;17 km ENE of Walker Lake, Nevada;17;Walker Lake, Nevada;North America;United States of America (the);Nevada;Hawthorne;Hawthorne;-420
nn00882931;3.3;earthquake;M 3.3 - 17 km ENE of Walker Lake, Nevada;2024-08-24T13:57:04;https://earthquake.usgs.gov/earthquakes/eventpage/nn00882931;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00882931&format=geojson;0;0;3;reviewed;0;168;nn;11;0.059;0.1593;48.94;ml;5.3;38.6825;-118.555;17 km ENE of Walker Lake, Nevada;17;Walker Lake, Nevada;North America;United States of America (the);Nevada;Hawthorne;Hawthorne;-420
us7000n974;3.2;earthquake;M 3.2 - 18 km ENE of Walker Lake, Nevada;2024-08-24T13:57:04;https://earthquake.usgs.gov/earthquakes/eventpage/us7000n974;https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us7000n974.geojson;0;0;3;reviewed;0;158;us;22;0.318;0.61;70;ml;9.426;38.6833;-118.548;18 km ENE of Walker Lake, Nevada;18;Walker Lake, Nevada;North America;United States of America (the);Nevada;Hawthorne;Hawthorne;-420
nn00882900;3.3;earthquake;M 3.3 - 17 km E of Walker Lake, Nevada;2024-08-24T04:14:00;https://earthquake.usgs.gov/earthquakes/eventpage/nn00882900;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00882900&format=geojson;3;2;3;reviewed;0;168;nn;23;0.053;0.1688;48.75;ml;6.7;38.6669;-118.556;17 km E of Walker Lake, Nevada;17;Walker Lake, Nevada;North America;United States of America (the);Nevada;Hawthorne;Hawthorne;-420
nn00882856;4.3;earthquake;M 4.3 - 16 km ENE of Walker Lake, Nevada;2024-08-23T15:31:58;https://earthquake.usgs.gov/earthquakes/eventpage/nn00882856;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00882856&format=geojson;30;4;4;reviewed;0;297;nn;13;0.068;0.1639;41.24;ml;5.5;38.6847;-118.564;16 km ENE of Walker Lake, Nevada;16;Walker Lake, Nevada;North America;United States of America (the);Nevada;Hawthorne;Hawthorne;-420
us7000n90a;4.3;earthquake;M 4.3 - 20 km ENE of Walker Lake, Nevada;2024-08-23T15:31:57;https://earthquake.usgs.gov/earthquakes/eventpage/us7000n90a;https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us7000n90a.geojson;9;4;4;reviewed;0;288;us;32;0.332;0.71;88;mwr;5;38.7101;-118.532;20 km ENE of Walker Lake, Nevada;20;Walker Lake, Nevada;North America;United States of America (the);Nevada;Hawthorne;Hawthorne;-420
nn00882850;3.3;earthquake;M 3.3 - 17 km E of Walker Lake, Nevada;2024-08-23T14:51:22;https://earthquake.usgs.gov/earthquakes/eventpage/nn00882850;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00882850&format=geojson;3;3;3;reviewed;0;168;nn;16;0.059;0.172;48.96;ml;4.7;38.6808;-118.55;17 km E of Walker Lake, Nevada;17;Walker Lake, Nevada;North America;United States of America (the);Nevada;Hawthorne;Hawthorne;-420
nn00882840;3;earthquake;M 3.0 - 17 km ENE of Walker Lake, Nevada;2024-08-23T13:43:06;https://earthquake.usgs.gov/earthquakes/eventpage/nn00882840;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00882840&format=geojson;2;2;3;reviewed;0;139;nn;15;0.064;0.1847;92.4;ml;6;38.6871;-118.561;17 km ENE of Walker Lake, Nevada;17;Walker Lake, Nevada;North America;United States of America (the);Nevada;Hawthorne;Hawthorne;-420
tx2024qnpx;3.9;earthquake;M 3.9 - 57 km S of Whites City, New Mexico;2024-08-23T03:21:38;https://earthquake.usgs.gov/earthquakes/eventpage/tx2024qnpx;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024qnpx&format=geojson;3;3;5;reviewed;0;235;tx;36;0;0.1;66;ml;6.0999;31.656;-104.457;57 km S of Whites City, New Mexico;57;Whites City, New Mexico;North America;United States of America (the);Texas;Van Horn;Van Horn;-300
us7000n8wd;4.2;earthquake;M 4.2 - 62 km S of Whites City, New Mexico;2024-08-23T03:21:38;https://earthquake.usgs.gov/earthquakes/eventpage/us7000n8wd;https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us7000n8wd.geojson;1;1;4;reviewed;0;271;us;41;0.07;0.5;66;ml;5;31.6187;-104.443;62 km S of Whites City, New Mexico;62;Whites City, New Mexico;North America;United States of America (the);Texas;Van Horn;Van Horn;-300
tx2024qamq;3.8;earthquake;M 3.8 - 28 km SW of Garden City, Texas;2024-08-15T22:59:30;https://earthquake.usgs.gov/earthquakes/eventpage/tx2024qamq;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024qamq&format=geojson;5;5;4;reviewed;0;225;tx;18;0.1;0.1;63;ml;8.0078;31.691;-101.701;28 km SW of Garden City, Texas;28;Garden City, Texas;North America;United States of America (the);Texas;Garden City;Garden City;-300
uu80078591;3.29;earthquake;M 3.3 - 13 km NE of Hildale, Utah;2024-08-15T18:02:34;https://earthquake.usgs.gov/earthquakes/eventpage/uu80078591;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80078591&format=geojson;12;3;3;reviewed;0;170;uu;28;0.06768;0.25;92;ml;9.23;37.0675;-112.864;13 km NE of Hildale, Utah;13;Hildale, Utah;North America;United States of America (the);Utah;Kanab;Kanab;-360
ci40703159;3.61;earthquake;M 3.6 - 6 km NW of Lakeland Village, CA;2024-08-15T16:39:31;https://earthquake.usgs.gov/earthquakes/eventpage/ci40703159;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40703159&format=geojson;3877;4;4;reviewed;0;610;ci;158;0.03404;0.26;33;mw;8.38;33.6777;-117.391;6 km NW of Lakeland Village, CA;6;Lakeland Village, CA;North America;United States of America (the);California;Elsinore Valley;Lake Elsinore;-420
nn00882322;4.4;earthquake;M 4.4 - 8 km NW of Indian Springs, Nevada;2024-08-14T03:06:35;https://earthquake.usgs.gov/earthquakes/eventpage/nn00882322;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00882322&format=geojson;544;4;4;reviewed;0;526;nn;43;0.19;0.1326;44.07;ml;13.2;36.61;-115.727;8 km NW of Indian Springs, Nevada;8;Indian Springs, Nevada;North America;United States of America (the);Nevada;Las Vegas;Las Vegas;-420
us6000njzb;4.1;earthquake;M 4.1 - 7 km NNW of Indian Springs, Nevada;2024-08-14T03:06:35;https://earthquake.usgs.gov/earthquakes/eventpage/us6000njzb;https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000njzb.geojson;110;4;4;reviewed;0;306;us;47;0.463;0.65;28;ml;19.877;36.633;-115.709;7 km NNW of Indian Springs, Nevada;7;Indian Springs, Nevada;North America;United States of America (the);Nevada;Las Vegas;Las Vegas;-420
ci40699207;4.39;earthquake;M 4.4 - 4 km SSE of Highland Park, CA;2024-08-12T19:20:24;https://earthquake.usgs.gov/earthquakes/eventpage/ci40699207;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40699207&format=geojson;24227;5;5;reviewed;1;836;ci;192;0.03299;0.24;24;mw;10.98;34.0843;-118.185;4 km SSE of Highland Park, CA;4;Highland Park, CA;North America;United States of America (the);California;Los Angeles;Los Angeles;-420
ci40697215;3.66;earthquake;M 3.7 - 20 km E of Little Lake, CA;2024-08-11T09:45:13;https://earthquake.usgs.gov/earthquakes/eventpage/ci40697215;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40697215&format=geojson;5;5;4;reviewed;0;209;ci;32;0.02461;0.14;71;mw;5;35.9492;-117.679;20 km E of Little Lake, CA;20;Little Lake, CA;North America;United States of America (the);California;Lone Pine;Lone Pine;-420
us6000njce;3.6;earthquake;M 3.6 - 28 km SW of Garden City, Texas;2024-08-10T13:34:46;https://earthquake.usgs.gov/earthquakes/eventpage/us6000njce;https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000njce.geojson;1;2;4;reviewed;0;200;us;25;0.283;0.09;44;mb_lg;0.739;31.7045;-101.712;28 km SW of Garden City, Texas;28;Garden City, Texas;North America;United States of America (the);Texas;Garden City;Garden City;-300
tx2024pqqp;3.6;earthquake;M 3.6 - 28 km SW of Garden City, Texas;2024-08-10T13:34:46;https://earthquake.usgs.gov/earthquakes/eventpage/tx2024pqqp;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024pqqp&format=geojson;2;3;4;reviewed;0;200;tx;23;0.1;0.1;63;ml;5.9326;31.704;-101.708;28 km SW of Garden City, Texas;28;Garden City, Texas;North America;United States of America (the);Texas;Garden City;Garden City;-300
ci40869232;4.44;earthquake;M 4.4 - 22 km NW of Grapevine, CA;2024-08-08T02:09:15;https://earthquake.usgs.gov/earthquakes/eventpage/ci40869232;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40869232&format=geojson;760;4;6;reviewed;0;630;ci;99;0.04425;0.28;21;mw;11.57;35.1017;-119.071;22 km NW of Grapevine, CA;22;Grapevine, CA;North America;United States of America (the);California;Greenfield-Panama;Greenfield-Panama;-420
ci40868904;3.78;earthquake;M 3.8 - 25 km NW of Grapevine, CA;2024-08-07T23:43:32;https://earthquake.usgs.gov/earthquakes/eventpage/ci40868904;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40868904&format=geojson;335;5;4;reviewed;0;397;ci;68;0.05153;0.23;42;mw;12.24;35.111;-119.117;25 km NW of Grapevine, CA;25;Grapevine, CA;North America;United States of America (the);California;West Kern;West Kern;-420
ci40867136;3.64;earthquake;M 3.6 - 25 km SW of Lamont, CA;2024-08-07T10:39:19;https://earthquake.usgs.gov/earthquakes/eventpage/ci40867136;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40867136&format=geojson;21;4;4;reviewed;0;213;ci;69;0.06045;0.27;23;mw;12.96;35.107;-119.119;25 km SW of Lamont, CA;25;Lamont, CA;North America;United States of America (the);California;West Kern;West Kern;-420
ci40866360;3.5;earthquake;M 3.5 - 24 km NW of Grapevine, CA;2024-08-07T06:52:28;https://earthquake.usgs.gov/earthquakes/eventpage/ci40866360;https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40866360&format=geojson;3;2;4;reviewed;0;189;ci;95;0.04646;0.25;22;mw;12.06;35.1037;-119.101;24 km NW of Grapevine, CA;24;Grapevine, CA;North America;United States of America (the);California;Greenfield-Panama;Greenfield-Panama;-420
